,img,fld,TF_name,blur_lapl,blur_ski,patch_size,mean_intensity,sum_intensity,median_intensity,standard_deviation,variance,skewness,kurtosis,interquartile_range ,entropy,Perimeter,area_Test,axis_major_length,feret_diameter_max,axis_minor_length,solidity,gabro_0,gabro_1,gabro_2,gabro_3,gabro_4,gabro_5,gabro_6,gabro_7,gabro_8,gabro_9,gabro_10,gabro_11,gabro_12,gabro_13,gabro_14,gabro_15,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7
patch_19,0,1,C - 1,False,False,1257,862.4653937947494,1084119,860.0,67.60534514833391,4570.482692625355,0.08600726523546214,-0.07886660997298955,86.0,7.133408675151754,150.95331880577405,1257.0,59.558947331647985,57.723478758647246,28.529808227520554,0.9128540305010894,0.6127232142857143,0.013392857142857142,0.005580357142857143,0.08705357142857142,0.005580357142857143,0.005580357142857143,0.021205357142857144,0.0703125,0.03125,0.004464285714285714,0.06138392857142857,0.005580357142857143,0.022321428571428572,0.004464285714285714,0.017857142857142856,0.03125,0.23604060913705585,0.2017766497461929,0.10025380710659898,0.09517766497461928,0.0583756345177665,0.06852791878172589,0.08121827411167512,0.15862944162436549
patch_20,0,1,C - 1,False,False,1249,855.8526821457166,1068960,852.0,68.65094228277496,4712.9518763129,0.08090981812717245,-0.14229978743479377,94.0,7.126878459558911,136.12489168102783,1249.0,49.62942037254491,49.4064773081425,32.675572792975736,0.9674670797831139,0.046511627906976744,0.00872093023255814,0.18895348837209303,0.007267441860465116,0.00872093023255814,0.005813953488372093,0.5159883720930233,0.00436046511627907,0.005813953488372093,0.04215116279069767,0.03343023255813953,0.00872093023255814,0.03924418604651163,0.01308139534883721,0.02616279069767442,0.04505813953488372,0.2367758186397985,0.17884130982367757,0.11209068010075567,0.09319899244332494,0.055415617128463476,0.06801007556675064,0.08060453400503778,0.17506297229219145
patch_21,0,1,C - 1,False,False,1585,714.198738170347,1132005,713.0,55.20760015728839,3047.8791151270293,0.09655208601697485,-0.04119667194635834,73.0,7.365350646143056,158.95331880577405,1585.0,60.22477456288994,61.326992425847855,33.72202218432311,0.9635258358662614,0.042682926829268296,0.009146341463414634,0.15548780487804878,0.006097560975609756,0.006097560975609756,0.007621951219512195,0.057926829268292686,0.006097560975609756,0.007621951219512195,0.010670731707317074,0.04878048780487805,0.5213414634146342,0.03048780487804878,0.05030487804878049,0.03048780487804878,0.009146341463414634,0.24667349027635618,0.19242579324462641,0.10747185261003071,0.0849539406345957,0.05834186284544524,0.06345957011258956,0.06960081883316274,0.17707267144319344
patch_22,0,1,C - 1,False,False,1262,964.9619651347068,1217782,963.0,88.02299518714807,7748.047681716693,-0.01380772521970774,-0.18864068199678385,120.0,7.136274386072192,134.36753236814712,1262.0,48.922303730441065,48.82622246293481,32.903052746492904,0.9722650231124808,0.5276162790697675,0.007267441860465116,0.04215116279069767,0.005813953488372093,0.00872093023255814,0.024709302325581394,0.010174418604651164,0.007267441860465116,0.02616279069767442,0.055232558139534885,0.007267441860465116,0.0436046511627907,0.17877906976744187,0.005813953488372093,0.03924418604651163,0.010174418604651164,0.24331210191082803,0.1732484076433121,0.09681528662420383,0.11082802547770701,0.07006369426751592,0.0751592356687898,0.07006369426751592,0.16050955414012738
patch_23,0,1,C - 1,False,False,312,780.7179487179487,243584,779.5,64.35122923056365,4141.080703484549,-0.03698112439046856,-0.1286026684927033,89.0,5.739591534429912,66.87005768508881,312.0,22.366361032879436,23.853720883753127,18.252115329524155,0.9483282674772037,0.03409090909090909,0.008522727272727272,0.0625,0.03125,0.019886363636363636,0.05965909090909091,0.1534090909090909,0.008522727272727272,0.008522727272727272,0.4119318181818182,0.06534090909090909,0.03977272727272727,0.017045454545454544,0.03409090909090909,0.028409090909090908,0.017045454545454544,0.20657276995305165,0.18779342723004694,0.12206572769953052,0.12206572769953052,0.09389671361502347,0.0892018779342723,0.06103286384976526,0.11737089201877934
patch_24,0,1,C - 1,False,False,772,863.2059585492228,666395,862.0,67.4754825228969,4552.940741697764,0.03531061878438074,-0.04745865269056582,93.0,6.645923030915933,105.49747468305831,772.0,37.20744172269824,38.01315561749642,26.797851995171758,0.9686323713927227,0.4678030303030303,0.00946969696969697,0.022727272727272728,0.007575757575757576,0.017045454545454544,0.007575757575757576,0.03787878787878788,0.005681818181818182,0.007575757575757576,0.007575757575757576,0.056818181818181816,0.028409090909090908,0.022727272727272728,0.03977272727272727,0.08712121212121213,0.17424242424242425,0.22334004024144868,0.19718309859154928,0.13078470824949698,0.1006036217303823,0.04627766599597585,0.08249496981891348,0.05835010060362173,0.16096579476861167
patch_25,0,1,C - 1,False,False,908,822.5198237885462,746848,816.5,64.51741085205335,4162.496303052651,0.3343834027626403,0.2911397128085764,85.25,6.808184905119409,122.63961030678928,908.0,46.92617901207838,49.658836071740545,24.93357311649069,0.9588173178458289,0.02361111111111111,0.11805555555555555,0.006944444444444444,0.07083333333333333,0.008333333333333333,0.05,0.005555555555555556,0.009722222222222222,0.005555555555555556,0.005555555555555556,0.041666666666666664,0.027777777777777776,0.5555555555555556,0.008333333333333333,0.008333333333333333,0.05416666666666667,0.22165820642978004,0.21996615905245348,0.0829103214890017,0.08967851099830795,0.05922165820642978,0.07952622673434856,0.0727580372250423,0.17428087986463622
patch_26,0,1,C - 1,False,False,1878,858.2225772097977,1611742,858.0,63.38843084026456,4018.0931643910035,0.03858424241940482,0.2374692195040038,82.75,7.535229416768125,162.26702730475878,1878.0,51.19833327940699,52.952809179494906,46.79470296789183,0.9776158250910983,0.026041666666666668,0.009114583333333334,0.5091145833333334,0.0078125,0.015625,0.0078125,0.03515625,0.0078125,0.048177083333333336,0.07291666666666667,0.14453125,0.03125,0.03515625,0.005208333333333333,0.03515625,0.009114583333333334,0.23494983277591974,0.18812709030100336,0.10367892976588629,0.07525083612040134,0.05936454849498328,0.08361204013377926,0.08361204013377926,0.1714046822742475
patch_27,0,1,C - 1,False,False,2376,798.8257575757576,1898010,799.0,60.92339349763627,3711.6598752678296,0.04618929661278527,0.035448469782796366,79.25,7.770260224370347,180.26702730475878,2376.0,57.207838395087784,59.23681287847955,53.12863500166572,0.9838509316770186,0.506578947368421,0.007675438596491228,0.05263157894736842,0.008771929824561403,0.005482456140350877,0.009868421052631578,0.03728070175438596,0.05592105263157895,0.02412280701754386,0.039473684210526314,0.02850877192982456,0.01644736842105263,0.03618421052631579,0.15679824561403508,0.007675438596491228,0.006578947368421052,0.24256756756756756,0.1891891891891892,0.09662162162162162,0.08378378378378379,0.06283783783783783,0.07094594594594594,0.08445945945945946,0.16959459459459458
patch_28,0,1,C - 1,False,False,1837,801.1567773543821,1471725,800.0,60.77940895683378,3694.136553142046,0.1588792207400177,0.13301540083688046,82.0,7.513014466239522,162.12489168102786,1837.0,55.83900303406691,56.60388679233962,42.211044243449685,0.9740190880169671,0.02122641509433962,0.16037735849056603,0.0047169811320754715,0.024764150943396228,0.0047169811320754715,0.009433962264150943,0.0047169811320754715,0.5094339622641509,0.06839622641509434,0.036556603773584904,0.007075471698113208,0.027122641509433963,0.00589622641509434,0.024764150943396228,0.08608490566037735,0.0047169811320754715,0.23226351351351351,0.17820945945945946,0.0945945945945946,0.08614864864864864,0.05405405405405406,0.06756756756756757,0.09628378378378379,0.19087837837837837
patch_29,0,1,C - 1,False,False,1741,747.0930499712808,1300689,748.0,57.994369420611385,3363.3468844943445,0.011740638514372136,0.15425586659079205,78.0,7.459193285110759,169.095454429505,1741.0,64.16727302774977,62.64982043070834,35.736379353765834,0.9487738419618529,0.18229166666666666,0.0078125,0.006510416666666667,0.005208333333333333,0.009114583333333334,0.05078125,0.0390625,0.006510416666666667,0.5247395833333334,0.0078125,0.0078125,0.033854166666666664,0.06380208333333333,0.006510416666666667,0.04296875,0.005208333333333333,0.24356617647058823,0.18566176470588236,0.1056985294117647,0.07720588235294118,0.07169117647058823,0.06433823529411764,0.08455882352941177,0.16727941176470587
patch_30,0,1,C - 1,False,False,1076,842.8968401486989,906957,842.0,68.25855304915848,4659.230064364782,0.05939654005336001,-0.04717323748099789,95.0,6.9777214336181,125.39696961967,1076.0,43.96701612805498,45.70557952810576,31.328755802769937,0.96415770609319,0.4597222222222222,0.008333333333333333,0.03888888888888889,0.0125,0.018055555555555554,0.07222222222222222,0.1125,0.044444444444444446,0.005555555555555556,0.011111111111111112,0.05277777777777778,0.05277777777777778,0.03194444444444444,0.05555555555555555,0.006944444444444444,0.016666666666666666,0.23348017621145375,0.19676945668135096,0.1027900146842878,0.08223201174743025,0.05873715124816446,0.07929515418502203,0.07782672540381791,0.16886930983847284
patch_31,0,1,C - 1,False,False,1687,798.5500889152341,1347154,799.0,60.58499405084952,3670.5415041414717,-0.0440865013339476,0.0342625811394246,79.0,7.427817338806872,166.8528137423857,1687.0,59.22684200936613,57.0087712549569,38.09845654387234,0.9198473282442748,0.16911764705882354,0.007352941176470588,0.007352941176470588,0.041666666666666664,0.004901960784313725,0.004901960784313725,0.07475490196078431,0.012254901960784314,0.006127450980392157,0.006127450980392157,0.04779411764705882,0.006127450980392157,0.5404411764705882,0.007352941176470588,0.04044117647058824,0.023284313725490197,0.2551789077212806,0.1902071563088512,0.08851224105461393,0.07721280602636535,0.0696798493408663,0.06591337099811675,0.08380414312617702,0.1694915254237288
