,patch,img,TF_name,blur_lapl,blur_ski,patch_size,mean_intensity,sum_intensity,median_intensity,standard_deviation,variance,skewness,kurtosis,interquartile_range ,entropy,Perimeter,area_Test,axis_major_length,feret_diameter_max,axis_minor_length,solidity,similarity,hull area,correlation coef,gabro_0,gabro_1,gabro_2,gabro_3,gabro_4,gabro_5,gabro_6,gabro_7,gabro_8,gabro_9,gabro_10,gabro_11,gabro_12,gabro_13,gabro_14,gabro_15,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,Circularity
20,patch_27,1,C - 7,False,False,849,945.6242638398116,802835,911.0,164.32811104704044,27003.72808028845,2.6924728839407184,8.076949291891516,108.0,6.73071164384541,114.5685424949238,849,40.125238678494185,41.43669871020132,27.229042991584294,0.9528619528619529,0.115,891,-0.53235,0.459051724137931,0.0107758620689655,0.0366379310344827,0.0129310344827586,0.0474137931034482,0.0193965517241379,0.0517241379310344,0.0107758620689655,0.1745689655172413,0.0064655172413793,0.0409482758620689,0.0086206896551724,0.0086206896551724,0.0301724137931034,0.0387931034482758,0.043103448275862,0.2149046793760831,0.1889081455805892,0.0918544194107452,0.097053726169844,0.0589254766031195,0.095320623916811,0.0935875216637781,0.1594454072790294,0.8128057699564742
21,patch_28,1,C - 7,False,False,323,3733.66253869969,1205973,3844.0,557.6516612402024,310975.37528395746,-1.3049520932127263,1.4106140512282843,522.5,5.765537004052991,77.25483399593904,323,32.211318533594834,30.610455730027933,13.111306870373044,0.9124293785310734,0.816,354,0.3685,0.0475,0.01,0.005,0.01,0.0625,0.005,0.0125,0.05,0.01,0.0075,0.065,0.04,0.0175,0.6425,0.0075,0.0075,0.1619433198380566,0.1295546558704453,0.1214574898785425,0.1093117408906882,0.1578947368421052,0.1700404858299595,0.0769230769230769,0.0728744939271255,0.6800816534304884
22,patch_29,1,C - 7,False,False,349,1185.8022922636103,413845,1016.0,405.9913804827193,164829.00102626416,2.383874639769299,7.16383731095573,409.0,5.805898540155946,81.49747468305833,349,34.50775808991,33.12099032335839,13.36419153165489,0.9184210526315788,0.512,380,-0.34076,0.0538793103448275,0.0064655172413793,0.0107758620689655,0.0366379310344827,0.0086206896551724,0.0064655172413793,0.0495689655172413,0.0517241379310344,0.0711206896551724,0.0064655172413793,0.0301724137931034,0.0086206896551724,0.0064655172413793,0.0258620689655172,0.0086206896551724,0.6185344827586207,0.2107438016528925,0.2024793388429752,0.0619834710743801,0.1074380165289256,0.1198347107438016,0.1033057851239669,0.0909090909090909,0.1033057851239669,0.6603086515632823
23,patch_30,1,C - 7,False,False,1135,855.847577092511,971387,855.0,58.18302150908696,3385.263991926876,0.0833803168496709,0.12782291617106,75.0,7.032075858690298,140.3259018078045,1135,57.54913341336191,56.29387178015028,25.27930484762023,0.959425190194421,0.529,1183,-0.00215,0.0102272727272727,0.1431818181818182,0.0306818181818181,0.0079545454545454,0.0079545454545454,0.0943181818181818,0.0056818181818181,0.0193181818181818,0.5113636363636364,0.0125,0.0193181818181818,0.0670454545454545,0.0045454545454545,0.0068181818181818,0.0454545454545454,0.0136363636363636,0.245042492917847,0.1926345609065155,0.0878186968838526,0.0793201133144475,0.0609065155807365,0.1005665722379603,0.0694050991501416,0.1643059490084986,0.7243192738210683
24,patch_31,1,C - 7,False,False,1058,861.8081285444234,911793,862.0,58.40468986152487,3411.107797820905,0.0591028055937746,-0.1715122923018071,76.0,6.961837314896727,139.63961030678928,1058,53.11601018131273,54.08326913195984,25.934457265825536,0.9338040600176524,0.423,1133,-0.00112,0.0526960784313725,0.0073529411764705,0.0612745098039215,0.0061274509803921,0.0036764705882352,0.0416666666666666,0.0367647058823529,0.0049019607843137,0.0147058823529411,0.0073529411764705,0.0943627450980392,0.0049019607843137,0.6299019607843137,0.0073529411764705,0.0208333333333333,0.0061274509803921,0.2302158273381295,0.1798561151079136,0.116546762589928,0.1021582733812949,0.056115107913669,0.0863309352517985,0.0733812949640287,0.1553956834532374,0.681833406017098
25,patch_32,1,C - 7,False,False,2205,863.9759637188208,1905067,862.0,63.80954415805325,4071.657925658548,0.2881563919884431,0.8763587754824185,80.0,7.695765558563293,187.5391052434009,2205,71.84342626217438,70.71067811865476,39.60698325418103,0.9717937417364476,0.254,2269,-0.35097,0.5116071428571428,0.0125,0.0633928571428571,0.0053571428571428,0.0785714285714285,0.0098214285714285,0.0080357142857142,0.0330357142857142,0.00625,0.0419642857142857,0.1446428571428571,0.0276785714285714,0.0035714285714285,0.0071428571428571,0.0098214285714285,0.0366071428571428,0.2342086586231369,0.1937544357700497,0.099361249112846,0.0681334279630943,0.0603264726756564,0.0773598296664301,0.0979418026969481,0.1689141234918381,0.7878341072552912
26,patch_33,1,C - 7,False,False,1651,1383.6226529376136,2284361,1126.0,621.9079588937748,386769.5093354211,1.37806140386049,0.5216680555953226,425.0,7.32113141013078,152.95331880577402,1651,51.66286852309379,53.36665625650534,40.91307432072505,0.9775014801657784,0.483,1689,0.05037,0.5505952380952381,0.0089285714285714,0.0595238095238095,0.0119047619047619,0.0133928571428571,0.0610119047619047,0.0044642857142857,0.0074404761904761,0.0119047619047619,0.144345238095238,0.0044642857142857,0.0267857142857142,0.056547619047619,0.0044642857142857,0.0074404761904761,0.0267857142857142,0.1675302245250431,0.1632124352331606,0.0924006908462867,0.1312607944732297,0.1226252158894646,0.1044905008635578,0.0889464594127806,0.1295336787564766,0.8868274505582192
27,patch_34,1,C - 7,False,False,798,1923.015037593985,1534566,1010.0,1481.3904774370055,2194517.746641039,1.1886638950948094,-0.0234050760279185,2099.5,6.427231174689407,104.91168824543142,798,35.61685064498561,37.16180835212409,28.594883252111657,0.9708029197080292,0.478,822,-0.12905,0.6411290322580645,0.0080645161290322,0.0100806451612903,0.0060483870967741,0.0060483870967741,0.034274193548387,0.0060483870967741,0.0120967741935483,0.0362903225806451,0.1411290322580645,0.0080645161290322,0.0241935483870967,0.0362903225806451,0.0060483870967741,0.0080645161290322,0.0161290322580645,0.1445578231292517,0.1479591836734693,0.1156462585034013,0.1173469387755102,0.173469387755102,0.1122448979591836,0.0850340136054421,0.1037414965986394,0.911097812279258
28,patch_35,1,C - 7,False,False,842,1053.142517814727,886746,944.0,354.82961837122696,125904.05807347056,2.430292660125396,5.01176401588592,173.75,6.689164055528622,116.91168824543144,842,46.28448404586832,46.389654018972806,23.29531245051668,0.9644902634593356,0.335,873,-0.21059,0.0652173913043478,0.0067934782608695,0.0394021739130434,0.6277173913043478,0.014945652173913,0.0258152173913043,0.0122282608695652,0.0108695652173913,0.0258152173913043,0.0067934782608695,0.0067934782608695,0.0638586956521739,0.0434782608695652,0.0285326086956521,0.0040760869565217,0.0176630434782608,0.1858864027538726,0.189328743545611,0.1015490533562822,0.1187607573149741,0.0808950086058519,0.1101549053356282,0.0791738382099827,0.1342512908777969,0.7741160852232624
29,patch_36,1,C - 7,False,False,1080,993.274074074074,1072736,941.0,233.8409931312025,54681.61006858711,3.7532852473502607,15.060306113894118,108.25,6.962361741051175,129.39696961967,1080,46.03477269181143,47.92702786528704,30.97134685453916,0.967741935483871,0.344,1116,-0.09052,0.6576704545454546,0.0170454545454545,0.0071022727272727,0.0411931818181818,0.0071022727272727,0.0511363636363636,0.0071022727272727,0.049715909090909,0.0085227272727272,0.018465909090909,0.0099431818181818,0.0056818181818181,0.0099431818181818,0.0298295454545454,0.065340909090909,0.0142045454545454,0.2182596291012838,0.195435092724679,0.0955777460770328,0.0955777460770328,0.0927246790299572,0.0727532097004279,0.0713266761768901,0.1583452211126961,0.810560448304428
